Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
06.08.2014;-157.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;41;
06.08.2014;7294.0;Grands;;Cash;Оклад;;;Uncleared;;Personal Expense;;;1 PCS;;42;
06.08.2014;5000.0;Grands;;Cash;РФФИ 14#02#31811;;;Uncleared;;Personal Expense;;;1 PCS;;43;
06.08.2014;3000.0;Grands;;Cash;РФФИ 14#07##00870-а;;;Uncleared;;Personal Expense;;;1 PCS;;44;
06.08.2014;2000.0;Grands;;Cash;Договор ДП-67/14;;;Uncleared;;Personal Expense;;;1 PCS;;45;
06.08.2014;-2144.0;Other;;Cash;НДФЛ;;;Uncleared;;Personal Expense;;;1 PCS;;46;
06.08.2014;7203.0;Different resources;;Cash;Отпуск;;;Uncleared;;Personal Expense;;;1 PCS;;47;
06.08.2014;-500.0;Entertainment;Party;Cash;шашлыки;;;Uncleared;;Personal Expense;;;1 PCS;;48;
06.08.2014;-216.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;49;
07.08.2014;6400.0;Different resources;;Cash;лекции+практика (Слон и Жираф);;;Uncleared;;Personal Expense;;;1 PCS;;50;
07.08.2014;-351.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;51;
07.08.2014;-400.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;52;
08.08.2014;-363.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;53;
09.08.2014;600.0;Different resources;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;54;
09.08.2014;-141.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;55;
11.08.2014;-236.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;56;
12.08.2014;-379.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;57;
13.08.2014;600.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;58;
13.08.2014;-589.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;59;
13.08.2014;6600.0;Different resources;;Cash;астрономия;;;Uncleared;;Personal Expense;;;1 PCS;;60;
14.08.2014;3000.0;Different resources;;Cash;бабушка;;;Uncleared;;Personal Expense;;;1 PCS;;61;
14.08.2014;-210.0;Travel;Bus;Cash;пущино - москва;;;Uncleared;;Personal Expense;;;1 PCS;;62;
14.08.2014;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;63;
14.08.2014;-2150.0;Other;;Cash;подарок Димке;;;Uncleared;;Personal Expense;;;1 PCS;;64;
14.08.2014;-240.0;Entertainment;Movies;Cash;кино стражи галактики;;;Uncleared;;Personal Expense;;;1 PCS;;65;
14.08.2014;-441.0;Entertainment;Cafe;Cash;КФС;;;Uncleared;;Personal Expense;;;1 PCS;;66;
14.08.2014;-1435.0;Other;;Cash;подарок Наиле;;;Uncleared;;Personal Expense;;;1 PCS;;67;
14.08.2014;-64.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;68;
14.08.2014;-88.0;Travel;Train;Cash;москва - домодедово;;;Uncleared;;Personal Expense;;;1 PCS;;69;
14.08.2014;-40.0;Food;;Cash;вода;;;Uncleared;;Personal Expense;;;1 PCS;;70;
15.08.2014;-80.0;Travel;Train;Cash;домодедово- москва;;;Uncleared;;Personal Expense;;;1 PCS;;71;
15.08.2014;-100.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;72;
15.08.2014;-110.0;Travel;Underground;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;73;
15.08.2014;-1310.0;Entertainment;Bar;Cash;кризис жанра;;;Uncleared;;Personal Expense;;;1 PCS;;74;
